City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kaitangata,NZ,-46.2817,169.8464,48.58,89,23,5.08,few clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,76.96,83,37,9.89,scattered clouds
2,Sinnamary,GF,5.3833,-52.95,83.17,67,83,11.36,broken clouds
3,Bengkulu,ID,-3.8004,102.2655,77.52,90,100,4.76,light rain
4,Ayan,RU,56.45,138.1667,32.43,94,100,8.48,overcast clouds
5,Ilulissat,GL,69.2167,-51.1,23.02,42,20,10.36,few clouds
6,Santa Rosa,PH,14.3122,121.1114,84.18,76,100,8.63,overcast clouds
7,Punta Arenas,CL,-53.15,-70.9167,44.71,65,40,2.3,scattered clouds
8,Jamestown,US,42.097,-79.2353,60.03,26,0,6.91,clear sky
9,Nanortalik,GL,60.1432,-45.2371,38.7,84,76,3.58,broken clouds
10,Chuy,UY,-33.6971,-53.4616,61.9,53,67,4.29,broken clouds
11,Rikitea,PF,-23.1203,-134.9692,75.78,77,56,13.42,light rain
12,Barrow,US,71.2906,-156.7887,10.42,92,0,6.91,clear sky
13,Tasiilaq,GL,65.6145,-37.6368,44.76,45,59,13.71,broken clouds
14,Mar Del Plata,AR,-38.0023,-57.5575,55.42,54,0,8.05,clear sky
15,Tuktoyaktuk,CA,69.4541,-133.0374,23.9,95,77,6.55,broken clouds
16,Alanya,TR,36.5438,31.9998,73.53,65,60,2.48,broken clouds
17,El Tarra,CO,8.5756,-73.0949,89.58,59,100,4.14,overcast clouds
18,Lavrentiya,RU,65.5833,-171,23.76,89,100,10.51,overcast clouds
19,Bredasdorp,ZA,-34.5322,20.0403,61,65,17,7.94,few clouds
20,New Norfolk,AU,-42.7826,147.0587,56.7,62,100,9.28,overcast clouds
21,Hilo,US,19.7297,-155.09,73.27,93,100,4.61,overcast clouds
22,Cidreira,BR,-30.1811,-50.2056,66.94,65,59,11.77,broken clouds
23,Cape Town,ZA,-33.9258,18.4232,64.35,68,44,4,scattered clouds
24,Mataura,NZ,-46.1927,168.8643,63.48,86,84,4.25,broken clouds
25,Port Alfred,ZA,-33.5906,26.891,63.18,75,2,5.01,clear sky
26,Songea,TZ,-10.6833,35.65,65.5,83,97,2.66,overcast clouds
27,Svetlogorsk,BY,52.6333,29.7333,50.58,53,54,4.83,broken clouds
28,Bluff,NZ,-46.6,168.3333,63.81,69,88,21.12,overcast clouds
29,Tabou,CI,4.423,-7.3528,84.6,68,99,7.47,overcast clouds
30,Paramirim,BR,-13.4425,-42.2389,84.11,44,21,8.97,few clouds
31,Pimentel,PE,-6.8367,-79.9342,75.49,60,0,6.91,clear sky
32,Russell,US,32.3502,-85.1999,78.96,65,40,8.05,scattered clouds
33,Lorengau,PG,-2.0226,147.2712,80.55,79,96,5.01,overcast clouds
34,Yellowknife,CA,62.456,-114.3525,23.56,62,66,8.01,broken clouds
35,Hobart,AU,-42.8794,147.3294,57.06,91,75,9.22,broken clouds
36,Airai,TL,-8.9266,125.4092,60.12,89,93,3.22,overcast clouds
37,Mahebourg,MU,-20.4081,57.7,77.29,83,40,5.75,scattered clouds
38,Beloha,MG,-25.1667,45.05,71.64,73,14,7.43,few clouds
39,Ushuaia,AR,-54.8,-68.3,42.42,87,0,4.61,clear sky
40,Hermanus,ZA,-34.4187,19.2345,60.8,80,49,6.44,scattered clouds
41,Gondanglegi,ID,-7.7479,112.0132,75.88,90,96,2.26,overcast clouds
42,Sisimiut,GL,66.9395,-53.6735,24.46,48,0,5.7,clear sky
43,Leningradskiy,RU,69.3833,178.4167,4.39,97,96,5.68,overcast clouds
44,Muros,ES,42.7762,-9.0603,77.68,73,8,3.58,clear sky
45,Derbent,RU,42.0678,48.2899,57.09,89,100,4.72,overcast clouds
46,Castro,BR,-24.7911,-50.0119,64.47,79,97,6.96,overcast clouds
47,Karratha,AU,-20.7377,116.8463,78.31,45,89,15.86,overcast clouds
48,Butaritari,KI,3.0707,172.7902,80.65,82,92,12.33,overcast clouds
49,Chhuikhadan,IN,21.5333,80.9833,95.32,11,48,5.5,scattered clouds
50,Hithadhoo,MV,-0.6,73.0833,85.8,68,72,15.37,broken clouds
51,Pevek,RU,69.7008,170.3133,-6.47,100,97,1.72,overcast clouds
52,Mwingi,KE,-0.9344,38.0601,71.02,73,100,3.94,overcast clouds
53,Olinda,BR,-8.0089,-34.8553,83.93,65,75,13.8,broken clouds
54,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,54,20,13.8,few clouds
55,Esperance,AU,-33.8667,121.9,55.24,79,0,7.74,clear sky
56,East London,ZA,-33.0153,27.9116,66.13,66,1,19.95,clear sky
57,Ribeira Grande,PT,38.5167,-28.7,66.6,82,75,9.22,broken clouds
58,Mangrol,IN,21.1167,70.1167,83.61,81,0,8.52,clear sky
59,Maumere,ID,-8.6199,122.2111,80.67,81,96,2.44,overcast clouds
60,Angatuba,BR,-23.4897,-48.4128,66.92,82,100,10.94,overcast clouds
61,Busselton,AU,-33.65,115.3333,56.19,83,0,4.79,clear sky
62,Cabo San Lucas,MX,22.8909,-109.9124,81.61,52,0,4.61,clear sky
63,Geraldton,AU,-28.7667,114.6,55.81,88,0,4.61,clear sky
64,Waipawa,NZ,-41.4122,175.5153,44.64,88,0,6.31,clear sky
65,Ternate,ID,0.8,127.4,81.59,78,100,4.97,light rain
66,Tilichiki,RU,60.4667,166.1,23.67,93,53,7.16,broken clouds
67,Hongjiang,CN,27.11,109.9956,55.38,95,100,3.29,overcast clouds
68,Amethi,IN,26.15,81.8167,98.71,10,38,2.53,scattered clouds
69,Saint-Philippe,RE,-21.3585,55.7679,78.39,79,45,11.32,scattered clouds
70,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,78,75,9.22,broken clouds
71,Cutervo,PE,-6.379,-78.8157,59.72,72,100,7.14,light rain
72,Ahipara,NZ,-35.1667,173.1667,57.54,87,5,5.91,clear sky
73,Codrington,AU,-38.2667,141.9667,54.59,87,44,13.85,scattered clouds
74,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,74,40,0,scattered clouds
75,Albany,US,42.6001,-73.9662,57.33,32,10,3,clear sky
76,Chokurdakh,RU,70.6333,147.9167,7.07,96,32,7.05,scattered clouds
77,Atuona,PF,-9.8,-139.0333,78.04,77,46,13.11,light rain
78,Marevo,RU,57.3146,32.0804,43.16,54,62,3.22,broken clouds
79,Thompson,CA,55.7435,-97.8558,37.56,70,75,10.36,broken clouds
80,Namibe,AO,-15.1961,12.1522,76.32,76,6,9.57,clear sky
81,Ranfurly,NZ,-45.1333,170.1,47.05,83,48,6.49,scattered clouds
82,Shimoda,JP,34.6667,138.95,53.1,66,99,7.07,overcast clouds
83,Vaini,TO,-21.2,-175.2,75.36,94,100,8.05,light intensity shower rain
84,Fairbanks,US,64.8378,-147.7164,40.98,66,0,8.05,clear sky
85,Komsomolskiy,UZ,40.4272,71.7189,75.92,41,0,4.61,clear sky
86,Tura,IN,25.5198,90.2201,68.2,92,35,9.19,scattered clouds
87,Khatanga,RU,71.9667,102.5,9.99,97,60,5.7,broken clouds
88,Carnarvon,AU,-24.8667,113.6333,66.27,59,75,9.22,broken clouds
89,Udachnyy,RU,66.4167,112.4,19.45,85,96,26.84,light snow
90,Ngama,TD,11.7833,17.1667,103.75,17,96,3.71,overcast clouds
91,Cherskiy,RU,68.75,161.3,-6.79,100,79,4.29,broken clouds
92,Dingle,PH,10.9995,122.6711,77.88,83,88,5.79,overcast clouds
93,Santa Maria,BR,-29.6842,-53.8069,63.7,72,0,12.66,clear sky
94,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,74,0,14.97,clear sky
95,Ayagoz,KZ,47.9714,80.4392,61.3,24,100,6.17,overcast clouds
96,Vila Velha,BR,-20.3297,-40.2925,87.75,77,20,10.36,few clouds
97,Naze,JP,28.3667,129.4833,65.32,78,55,8.84,broken clouds
98,Kodiak,US,57.79,-152.4072,40.51,87,100,28.77,moderate rain
99,Severo-Kurilsk,RU,50.6789,156.125,33.73,83,94,14.72,overcast clouds
100,Chekhov,RU,55.1431,37.4711,44.49,55,89,6.58,overcast clouds
101,Saint George,US,37.1041,-113.5841,69.44,19,0,3.44,clear sky
102,Taunggyi,MM,20.7833,97.0333,67.75,62,50,4.68,light rain
103,Torbay,CA,47.6666,-52.7314,41.76,96,100,5.75,moderate rain
104,Sitka,US,57.0531,-135.33,44.49,65,0,5.75,clear sky
105,Avdon,RU,54.6667,55.7167,49.32,37,0,6.71,clear sky
106,Port Macquarie,AU,-31.4333,152.9167,60.89,84,100,10.38,overcast clouds
107,Vandoeuvre-Les-Nancy,FR,48.65,6.1833,70.18,48,0,12.66,clear sky
108,Inhambane,MZ,-23.865,35.3833,76.98,78,20,9.22,few clouds
109,Broome,US,42.2506,-75.833,58.01,28,0,10.36,clear sky
110,Lebu,CL,-37.6167,-73.65,53.8,59,0,13.22,clear sky
111,Verkhnyaya Toyma,RU,62.2349,44.9985,33.42,72,95,5.1,overcast clouds
112,Bambous Virieux,MU,-20.3428,57.7575,77.25,83,40,5.75,light rain
113,Ponta Do Sol,PT,32.6667,-17.1,76.71,57,0,0.51,clear sky
114,Duldurga,RU,50.6761,113.5931,40.48,96,100,2.08,overcast clouds
115,San Quintin,MX,30.4833,-115.95,62.8,70,72,7.25,broken clouds
116,Ganzhou,CN,28.8184,115.4327,57.24,92,100,4.83,overcast clouds
117,Cabedelo,BR,-6.9811,-34.8339,86.67,69,67,14.38,broken clouds
118,Wawa,NG,9.9022,4.4192,97.41,31,81,2.3,broken clouds
119,Vardo,NO,70.3705,31.1107,29.86,65,100,16.51,light snow
120,Tuatapere,NZ,-46.1333,167.6833,57.97,71,100,9.57,overcast clouds
121,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,70,2,7.94,clear sky
122,Saskylakh,RU,71.9167,114.0833,14.34,93,100,15.95,overcast clouds
123,Flinders,AU,-34.5833,150.8552,58.05,76,42,3,scattered clouds
124,Ngunguru,NZ,-35.6167,174.5,62.33,74,3,8.95,clear sky
125,Saldanha,ZA,-33.0117,17.9442,59.76,81,44,11.27,scattered clouds
126,Lichinga,MZ,-13.3128,35.2406,68.09,68,20,4.61,few clouds
127,La Macarena,CO,2.1837,-73.7849,71.42,98,100,0.81,overcast clouds
128,Bossangoa,CF,6.4926,17.4552,73.98,86,82,11.27,moderate rain
129,Acapulco,MX,16.8634,-99.8901,82.22,74,0,8.05,clear sky
130,Taoudenni,ML,22.6783,-3.9836,94.57,10,0,8.16,clear sky
131,Raghunathpur,IN,23.55,86.6667,86.88,43,60,9.51,broken clouds
132,Alyangula,AU,-13.8483,136.4192,73.27,94,66,0,broken clouds
133,Georgetown,MY,5.4112,100.3354,84.13,79,20,0,few clouds
134,Livingston,GB,55.9029,-3.5226,49.59,81,75,8.05,broken clouds
135,Rio Rancho,US,35.2334,-106.6645,66.16,15,0,8.05,clear sky
136,Santa Fe,AR,-31.6333,-60.7,61,59,100,4,light rain
137,Kahului,US,20.8947,-156.47,73.85,77,20,13.8,few clouds
138,Cap Malheureux,MU,-19.9842,57.6142,76.46,77,39,3,scattered clouds
139,Ambilobe,MG,-13.2,49.05,75.49,90,38,1.3,scattered clouds
140,Buluang,PH,13.3068,123.3425,76.51,91,99,2.86,overcast clouds
141,Tessalit,ML,20.1986,1.0114,98.33,6,2,20.76,clear sky
142,Toma,BF,12.7667,-2.8833,103.73,17,24,7.58,few clouds
143,Bubaque,GW,11.2833,-15.8333,78.71,64,28,12.5,scattered clouds
144,Voh,NC,-20.9667,164.7,69.8,89,6,3.94,clear sky
145,Tiksi,RU,71.6872,128.8694,34.03,81,89,18.63,overcast clouds
146,Killybegs,IE,54.6333,-8.45,51.51,91,100,19.71,overcast clouds
147,Natitingou,BJ,10.3042,1.3796,96.67,25,99,5.03,overcast clouds
148,Summerville,US,33.0185,-80.1757,78.91,53,20,12.66,few clouds
149,Cam Ranh,VN,11.9214,109.1591,76.96,94,40,0,scattered clouds
150,Lompoc,US,34.6391,-120.4579,72.93,70,0,21,clear sky
151,Kondinskoye,RU,59.6481,67.41,34.5,51,39,3.15,scattered clouds
152,Sampit,ID,-2.5333,112.95,75.15,96,100,1.9,moderate rain
153,Vysokogornyy,RU,50.1167,139.15,18.7,97,86,1.3,overcast clouds
154,Nikolskoye,RU,59.7035,30.7861,44.49,46,94,7.43,overcast clouds
155,Bonavista,CA,48.6499,-53.1147,37.18,94,100,4.99,overcast clouds
156,Nemuro,JP,43.3236,145.575,36.73,64,3,7.52,clear sky
157,Naryan-Mar,RU,67.6713,53.087,25.54,90,100,13.87,overcast clouds
158,Qaanaaq,GL,77.484,-69.3632,18.86,74,100,7.81,overcast clouds
159,Biak,ID,-0.9131,122.8766,76.77,86,100,0.65,overcast clouds
160,Talnakh,RU,69.4865,88.3972,20.21,96,90,6.82,overcast clouds
161,Guerrero Negro,MX,27.9769,-114.0611,63.46,68,47,12.68,scattered clouds
162,Nakamura,JP,32.9833,132.9333,53.55,87,87,2.55,overcast clouds
163,High Prairie,CA,55.4334,-116.4858,38.62,77,93,4.99,overcast clouds
164,Kawalu,ID,-7.3817,108.2082,73.6,97,61,1.63,broken clouds
165,Port Elizabeth,ZA,-33.918,25.5701,62.89,76,0,16.11,clear sky
166,Dhidhdhoo,MV,6.8833,73.1,86.18,73,100,10.74,overcast clouds
167,Along,IN,28.1667,94.7667,66.56,85,97,2.01,overcast clouds
168,Pacatuba,BR,-3.9842,-38.6203,85.37,73,40,6.8,scattered clouds
169,Ust-Tsilma,RU,65.441,52.1498,30.47,80,100,7,overcast clouds
170,Katsuura,JP,35.1333,140.3,53.28,67,39,7.92,scattered clouds
171,Melo,UY,-32.3667,-54.1833,62.44,61,4,8.12,clear sky
172,Badarpur,IN,24.9,92.6,72.79,90,98,2.89,overcast clouds
173,Ostrovnoy,RU,68.0531,39.5131,26.44,74,86,10.31,overcast clouds
174,Nurota,UZ,40.5614,65.6886,76.1,27,75,7.38,broken clouds
175,Prince Rupert,CA,54.3161,-130.3201,49.69,71,0,4.61,clear sky
176,Ronne,DK,55.1009,14.7066,49.91,81,51,5.75,broken clouds
177,Tevriz,RU,57.509,72.4042,37.42,59,96,4.97,overcast clouds
178,Clyde River,CA,70.4692,-68.5914,16.03,79,100,3.44,overcast clouds
179,Viedma,AR,-40.8135,-62.9967,57.65,31,100,17.4,overcast clouds
180,Hamilton,US,39.1834,-84.5333,66.97,77,100,11.5,overcast clouds
181,Pisco,PE,-13.7,-76.2167,73.02,73,0,5.75,clear sky
182,Natal,BR,-5.795,-35.2094,88.02,62,40,18.41,scattered clouds
183,Touros,BR,-5.1989,-35.4608,85.95,64,81,16.26,broken clouds
184,Auki,SB,-8.7676,160.7034,77.67,85,100,2.04,overcast clouds
185,Hambantota,LK,6.1241,81.1185,82.11,83,88,14.61,overcast clouds
186,Beringovskiy,RU,63.05,179.3167,24.75,96,100,13.91,light snow
187,San Blas,MX,21.5167,-105.2667,91.29,28,96,3.27,overcast clouds
188,Aksu,CN,41.1231,80.2644,67.55,23,100,4.76,overcast clouds
189,Port Hedland,AU,-20.3167,118.5667,75.25,60,75,9.22,broken clouds
190,Constitucion,CL,-35.3333,-72.4167,59.32,45,0,9.64,clear sky
191,Gigant,RU,46.5066,41.3419,53.31,85,100,12.33,overcast clouds
192,Itaituba,BR,-4.2761,-55.9836,87.96,74,75,9.22,broken clouds
193,Labuhan,ID,-6.8844,112.2051,78.26,89,100,8.34,overcast clouds
194,Maniitsoq,GL,65.4167,-52.9,24.37,54,11,10.27,few clouds
195,Kapaa,US,22.0752,-159.319,73.11,83,40,16.11,scattered clouds
196,Bethel,US,41.3712,-73.414,59.59,35,0,11.5,clear sky
197,Alekseyevsk,RU,57.8406,108.3492,42.21,100,100,4.43,light rain
198,Vao,NC,-22.6667,167.4833,74.19,81,100,21.77,overcast clouds
199,Vakhrushevo,RU,55.2317,61.7173,44.98,39,0,4.47,clear sky
200,Henties Bay,NA,-22.116,14.2845,61.3,75,0,11.21,clear sky
201,Akdepe,TM,42.0551,59.3788,71.69,55,100,6.22,overcast clouds
202,Ancud,CL,-41.8697,-73.8203,50.22,71,28,4,scattered clouds
203,Manuk Mangkaw,PH,4.8,119.85,82.71,79,97,6.2,overcast clouds
204,Letka,RU,59.6011,49.4232,32.86,97,100,5.21,overcast clouds
205,San Policarpo,PH,12.1791,125.5072,80.85,81,98,8.1,overcast clouds
206,Avera,US,33.194,-82.5271,78.55,49,76,7.2,broken clouds
207,Assomada,CV,15.1,-23.6833,76.55,62,65,10.54,broken clouds
208,Manali,IN,13.1667,80.2667,87.89,91,2,13.56,clear sky
209,Penzance,GB,50.1186,-5.5371,52.92,71,20,9.22,few clouds
210,Atar,MR,20.5169,-13.0499,97.97,6,0,7.54,clear sky
211,Wad Madani,SD,14.4012,33.5199,101.84,6,7,11.36,clear sky
212,Chunskiy,RU,56.0815,99.6342,54.09,77,83,2.42,broken clouds
213,Yicheng,CN,31.3705,119.8703,55.17,82,100,4.43,overcast clouds
214,Swan Hill,AU,-35.3378,143.5544,53.89,73,0,5.77,clear sky
215,Tarancon,ES,40.0085,-3.0073,70.21,39,98,10.38,overcast clouds
216,Muzaffarabad,PK,34.37,73.4711,70.75,60,92,7.54,overcast clouds
217,Provideniya,RU,64.3833,-173.3,28.18,93,100,14.88,light snow
218,Avarua,CK,-21.2078,-159.775,77.05,88,40,6.91,scattered clouds
219,Colares,PT,38.7992,-9.4469,81.34,44,20,11.5,few clouds
220,San Luis Rio Colorado,MX,32.4631,-114.7767,83.89,10,6,4.63,clear sky
221,Hammerfest,NO,70.6634,23.6821,27.05,93,100,16.11,overcast clouds
222,Thinadhoo,MV,0.5333,72.9333,85.78,68,85,15.32,overcast clouds
223,Port Lincoln,AU,-34.7333,135.8667,58.93,78,2,7.78,clear sky
224,Toora-Khem,RU,52.4675,96.11,48.83,59,100,3.06,overcast clouds
225,Ust-Maya,RU,60.4167,134.5333,20.21,97,43,0.83,scattered clouds
226,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,64,12,6.73,few clouds
227,Palaikastron,GR,35.2,26.25,62.87,78,0,29.1,clear sky
228,Isangel,VU,-19.55,169.2667,77.54,88,100,14.03,overcast clouds
229,Ballina,AU,-28.8667,153.5667,67.96,96,100,11.5,light rain
